"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0,-3.04786156609575,0.112,0.568,0,"Retnlg"
0,-1.95984683501936,0.161,0.605,0,"Slpi"
0,-1.64052659230415,0.272,0.69,0,"Ccl6"
0,-1.65575191282993,0.246,0.642,0,"Mmp9"
0,-1.79548082389731,0.214,0.586,0,"Hdc"
0,-2.31343768199678,0.138,0.492,0,"Slc16a3"
0,-1.72355942963084,0.4,0.751,0,"S100a6"
0,-1.56471861573826,0.254,0.6,0,"Sell"
0,-3.40475162211624,0.071,0.415,0,"Mmp8"
0,1.31618969760227,0.712,0.37,0,"Rps28"
0,-1.39289675268347,0.376,0.713,0,"Msrb1"
0,-0.81403058159301,0.328,0.664,0,"Lyz2"
0,-1.39148647749479,0.317,0.65,0,"Taldo1"
0,-1.5814501870493,0.481,0.814,0,"Dusp1"
0,-0.784488912716049,0.309,0.641,0,"Lyz1"
0,-1.96150771944073,0.375,0.707,0,"S100a9"
0,-1.65019464988167,0.199,0.53,0,"Gda"
0,-1.10315072336164,0.361,0.688,0,"Csf3r"
0,-1.42524528367329,0.452,0.778,0,"Fos"
0,-1.87146486986998,0.149,0.472,0,"Pglyrp1"
0,-1.81661585526205,0.465,0.786,0,"S100a11"
0,-1.10761873451828,0.329,0.649,0,"Alox5ap"
0,-1.35948139209839,0.3,0.614,0,"Mxd1"
0,-1.50558718350823,0.162,0.476,0,"C5ar1"
0,-1.35678048019168,0.284,0.597,0,"Grina"
0,-1.79123430251078,0.391,0.704,0,"S100a8"
0,-1.62688855945508,0.204,0.516,0,"Clec4d"
0,-1.71219233437461,0.179,0.488,0,"Hp"
0,-1.92137375347996,0.134,0.425,0,"Adam8"
0,-2.46684023465358,0.073,0.362,0,"Slc2a3"
0,-2.22751074090921,0.15,0.421,0,"Thbs1"
0,-2.18308739885716,0.099,0.363,0,"Lcn2"
0,-3.09615825880338,0.044,0.286,0,"Retnlb"
0,1.08658505965819,0.839,0.62,0,"Rps29"
