"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.59749739232789,0.828,0.112,0,"0","Slpi"
0,2.38830223229139,0.882,0.182,0,"0","Mmp9"
0,2.48484313889849,0.98,0.285,0,"0","S100a9"
0,2.41589606479576,0.761,0.079,0,"0","Retnlg"
0,2.29019503426822,0.979,0.298,0,"0","S100a8"
0,3.00166482344596,0.816,0.152,0,"0","Hdc"
0,2.62476315588174,0.943,0.28,0,"0","Csf3r"
0,2.29730502784214,0.981,0.338,0,"0","Il1b"
0,2.29338822423456,0.875,0.238,0,"0","Ccl6"
0,2.45591828619729,0.925,0.318,0,"0","Msrb1"
0,2.50140410302786,0.813,0.22,0,"0","Grina"
0,2.39500568985784,0.829,0.237,0,"0","Mxd1"
0,2.32503522349861,0.928,0.361,0,"0","S100a6"
0,2.31339744720739,0.966,0.404,0,"0","Fos"
0,2.24900095549944,0.841,0.287,0,"0","Emc7"
0,2.5711079902463,0.705,0.154,0,"0","Clec4d"
0,2.51883921095966,0.961,0.423,0,"0","S100a11"
0,2.58767384506298,0.979,0.445,0,"0","Dusp1"
0,2.06751517592525,0.817,0.283,0,"0","Gsr"
0,1.96580416232322,0.821,0.288,0,"0","Alox5ap"
0,3.05428845530766,0.644,0.112,0,"0","Slc16a3"
0,2.08711561158087,0.894,0.368,0,"0","Cxcr2"
0,2.25604847014291,0.802,0.288,0,"0","Taldo1"
0,2.59201035520877,0.68,0.171,0,"0","Gda"
0,2.6024006394145,0.649,0.142,0,"0","Hp"
0,2.86161041791806,0.623,0.124,0,"0","Ptgs2"
0,1.48414567098945,0.972,0.482,0,"0","Cebpb"
0,2.57344710001092,0.614,0.124,0,"0","Pglyrp1"
0,1.68703636142903,0.962,0.478,0,"0","Tyrobp"
0,2.78401054569732,0.602,0.121,0,"0","Pla2g7"
0,2.37818151045862,0.616,0.137,0,"0","C5ar1"
0,2.1697749178267,0.707,0.244,0,"0","Sorl1"
0,2.81322183770026,0.561,0.107,0,"0","Adam8"
0,2.59470722956312,0.617,0.166,0,"0","Fgl2"
0,2.36149165991952,0.623,0.176,0,"0","Lmnb1"
0,2.0718380228401,0.652,0.207,0,"0","Tnfaip2"
0,2.18503152959754,0.648,0.203,0,"0","Ifitm2"
0,1.92162517980013,0.628,0.186,0,"0","Ccr1"
0,2.51572440514135,0.572,0.131,0,"0","Amica1"
0,1.54236459407253,0.73,0.292,0,"0","Anxa2"
0,2.3859491768753,0.583,0.154,0,"0","Osm"
0,1.70768757226419,0.94,0.518,0,"0","Zfp36"
0,2.28779178324399,0.497,0.078,0,"0","Mmp8"
0,1.88566914314027,0.682,0.265,0,"0","Rnf149"
0,1.35939700436959,0.662,0.251,0,"0","Cxcl2"
0,1.9912174792551,0.655,0.25,0,"0","Tpd52"
0,1.84498049206877,0.702,0.299,0,"0","Txn1"
0,2.42284538556302,0.53,0.128,0,"0","Cd300ld"
0,2.10586736304885,0.566,0.165,0,"0","Ets2"
0,1.65955194517917,0.771,0.374,0,"0","Selplg"
0,1.57718128603631,0.877,0.481,0,"0","Fxyd5"
0,1.60222804707842,0.665,0.271,0,"0","Sell"
0,3.19526453255013,0.458,0.066,0,"0","Slc2a3"
0,2.03894208099187,0.548,0.157,0,"0","Trem1"
0,1.57644998500917,0.9,0.511,0,"0","Btg2"
0,1.92770528013807,0.64,0.252,0,"0","Zyx"
0,2.04297032568758,0.468,0.084,0,"0","Lcn2"
0,1.20484928598345,0.58,0.2,0,"0","Il1r2"
0,1.85269956564528,0.606,0.23,0,"0","Txn-ps1"
0,1.67549931561785,0.582,0.208,0,"0","Lst1"
0,1.66587424892648,0.644,0.271,0,"0","Adipor1"
0,2.23700381600838,0.53,0.157,0,"0","Letm1"
0,2.02640355607272,0.564,0.196,0,"0","Emb"
0,1.74129806645842,0.559,0.197,0,"0","Clec7a"
0,0.961642349093051,0.714,0.361,0,"0","Irf2bp2"
0,2.03689390343393,0.523,0.172,0,"0","Fosl2"
0,1.21311625494867,0.617,0.268,0,"0","Gp49a"
0,1.12474679879722,0.621,0.272,0,"0","Lilrb4"
0,1.42753121031063,0.754,0.405,0,"0","Lsp1"
0,2.24106077846974,0.506,0.157,0,"0","Tnfrsf1a"
0,1.63221295093477,0.96,0.615,0,"0","Srgn"
0,1.54731476316761,0.492,0.149,0,"0","G0s2"
0,1.50660007606706,0.858,0.515,0,"0","Mcl1"
0,2.03226975042149,0.469,0.128,0,"0","Tgfbi"
0,1.40458015295365,0.562,0.222,0,"0","Cyp4f18"
0,2.93517426635938,0.414,0.077,0,"0","Cd300lb"
0,1.46396618706704,0.778,0.442,0,"0","Stk17b"
0,2.11224656312542,0.502,0.175,0,"0","Spc24"
0,1.8955298592771,0.484,0.157,0,"0","Pygl"
0,2.46140229281269,0.437,0.112,0,"0","Ifitm1"
0,2.06489610897998,0.482,0.158,0,"0","Thbs1"
0,1.24342650345203,0.702,0.379,0,"0","Ier2"
0,1.21152838336996,0.699,0.378,0,"0","Rgs2"
0,2.11367387737557,0.453,0.133,0,"0","Clec4e"
0,1.60323181164805,0.573,0.254,0,"0","Hmgb2"
0,1.40593023935279,0.59,0.272,0,"0","Nr4a1"
0,1.45572840139763,0.956,0.64,0,"0","Junb"
0,1.78324392095625,0.486,0.17,0,"0","Ncf2"
0,2.15826667437333,0.443,0.13,0,"0","Sirpb1c"
0,2.49610639862928,0.419,0.108,0,"0","Mcemp1"
0,1.763819224183,0.536,0.231,0,"0","Myadm"
0,1.9435917651441,0.456,0.151,0,"0","Rassf3"
0,1.66335485626735,0.54,0.237,0,"0","Ssh2"
0,2.03906104117244,0.392,0.089,0,"0","Wfdc21"
0,2.42921150087193,0.349,0.047,0,"0","Retnlb"
0,2.14990451698917,0.424,0.124,0,"0","Ccpg1"
0,2.77168597348646,0.361,0.063,0,"0","Arg2"
0,1.73828101519148,0.486,0.189,0,"0","Pgd"
0,1.94115598881614,0.605,0.309,0,"0","H2-Q10"
0,1.96368567262147,0.419,0.131,0,"0","Nudt4"
0,1.99586935091941,0.415,0.13,0,"0","Cdc27"
0,1.92293620740432,0.431,0.148,0,"0","Trib1"
0,1.83368767238577,0.419,0.142,0,"0","Gm9025"
0,2.13636374688461,0.414,0.137,0,"0","Glipr1"
0,1.94721941640251,0.397,0.121,0,"0","Pilra"
0,2.31206588087119,0.372,0.103,0,"0","Nfkbiz"
0,2.44212562202101,0.354,0.086,0,"0","Dhrs7"
0,2.12733595335269,0.362,0.098,0,"0","Sh2d3c"
0,1.14917263944892,0.92,0.657,0,"0","Lcp1"
0,3.70150614614982,0.297,0.036,0,"0","Slc40a1"
0,2.0404972365654,0.361,0.103,0,"0","Timeless"
0,2.81611235972731,0.305,0.05,0,"0","Lrg1"
0,2.3907263566982,0.33,0.079,0,"0","Gadd45a"
0,2.60715797961716,0.308,0.057,0,"0","Trem3"
0,3.13926188056306,0.274,0.031,0,"0","Stfa2l1"
0,2.66861120159595,0.286,0.053,0,"0","Il1f9"
0,2.88900468458672,0.281,0.05,0,"0","Gm5150"
0,2.66636834576714,0.285,0.057,0,"0","Sepn1"
0,3.19495098821036,0.251,0.035,0,"0","Padi4"
0,1.09074571025181,0.976,0.783,0,"0","Actg1"
0,0.855287765860466,0.931,0.77,0,"0","Btg1"
0,0.756072466040265,0.999,0.971,0,"0","Tmsb4x"
1.22501701379125e-306,1.84226420616045,0.448,0.167,3.45516048739822e-302,"0","Evi2b"
5.4089291189489e-304,2.22136281310646,0.361,0.106,1.52558845799954e-299,"0","Arrdc3"
6.53571210888931e-300,1.52458540005367,0.493,0.199,1.84339760031223e-295,"0","Marcks"
6.83360213114046e-298,1.48066643264559,0.532,0.238,1.92741748108817e-293,"0","Map1lc3b"
2.80872058336832e-297,2.17510856582604,0.345,0.097,7.92199640539035e-293,"0","Ndel1"
4.70075931777556e-294,1.10136801860815,0.581,0.259,1.3258491655786e-289,"0","Egr1"
1.07393877882405e-293,2.45186525539458,0.343,0.1,3.02904432567322e-289,"0","Trim30b"
3.872001492502e-293,1.73983782562022,0.427,0.149,1.09209802096019e-288,"0","Slfn1"
9.79340030092619e-293,1.98541095488604,0.374,0.117,2.76222855487623e-288,"0","Gcnt2"
4.19750090518119e-292,1.90124475254381,0.379,0.12,1.18390513030635e-287,"0","Themis2"
6.34730795199865e-292,2.27672776397972,0.325,0.086,1.79025820786122e-287,"0","Dck"
3.27148037767494e-291,1.93676397435195,0.443,0.173,9.22721040523218e-287,"0","Kctd12"
2.44489472785866e-289,2.3539338718547,0.323,0.086,6.89582557992535e-285,"0","Tmcc1"
1.9763787980427e-287,1.92118765665088,0.39,0.132,5.57437639987942e-283,"0","Per1"
6.09758880463576e-287,2.63130349288912,0.264,0.052,1.71982492234752e-282,"0","Rnf144a"
5.80107873411335e-284,1.96826846318459,0.36,0.11,1.63619425695667e-279,"0","Lpcat2"
8.27409583591947e-284,1.88712098246934,0.378,0.122,2.33370873052109e-279,"0","Ogfrl1"
1.29953404746887e-282,0.97010349707524,0.782,0.494,3.66533578088596e-278,"0","Pim1"
2.28112778083864e-276,1.68744794025935,0.431,0.16,6.43392090585538e-272,"0","AB124611"
2.30825687484915e-270,1.51149255169955,0.517,0.242,6.51043851551204e-266,"0","Gmfg"
1.3054713118144e-269,1.21093610304922,0.598,0.303,3.68208183497252e-265,"0","Spi1"
4.87391351257984e-269,1.63403601455916,0.408,0.146,1.37468730622314e-264,"0","Plbd1"
