"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"mregDC","Macrophages (C1q+Trem2+ TAM)","Ccl5","Ccr1",0.0105640399797869,0,"CCL5_CCR1","Ccl5  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060"
"NK cells","Macrophages (C1q+Trem2+ TAM)","Ccl5","Ccr1",0.0195435503213328,0,"CCL5_CCR1","Ccl5  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060"
"mregDC","Neutrophils (Ccl3+)","Ccl5","Ccr1",0.0556895583747111,0,"CCL5_CCR1","Ccl5  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060"
"NK cells","Neutrophils (Ccl3+)","Ccl5","Ccr1",0.0991811737757812,0,"CCL5_CCR1","Ccl5  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060"
"mregDC","Neutrophils (immature)","Ccl5","Ccr1",0.121661834712182,0,"CCL5_CCR1","Ccl5  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060"
"NK cells","Neutrophils (immature)","Ccl5","Ccr1",0.205465223979999,0,"CCL5_CCR1","Ccl5  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060"
"mregDC","Neutrophils (mature)","Ccl5","Ccr1",0.130351544366157,0,"CCL5_CCR1","Ccl5  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060"
"NK cells","Neutrophils (mature)","Ccl5","Ccr1",0.218650548157203,0,"CCL5_CCR1","Ccl5  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060"
"mregDC","Neutrophils (Siglecf+ TAN)","Ccl5","Ccr1",0.122116302823576,0,"CCL5_CCR1","Ccl5  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060"
"NK cells","Neutrophils (Siglecf+ TAN)","Ccl5","Ccr1",0.20615926282373,0,"CCL5_CCR1","Ccl5  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060"
"Neutrophils (Ccl3+)","Macrophages (C1q+Trem2+ TAM)","Ccl3","Ccr1",0.0157912509314979,0,"CCL3_CCR1","Ccl3  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060"
"Neutrophils (Ccl3+)","Neutrophils (Ccl3+)","Ccl3","Ccr1",0.0814082622660696,0,"CCL3_CCR1","Ccl3  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060"
"Neutrophils (Ccl3+)","Neutrophils (immature)","Ccl3","Ccr1",0.172289246826646,0,"CCL3_CCR1","Ccl3  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060"
"Neutrophils (Ccl3+)","Neutrophils (mature)","Ccl3","Ccr1",0.183838173521851,0,"CCL3_CCR1","Ccl3  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060"
"Neutrophils (Ccl3+)","Neutrophils (Siglecf+ TAN)","Ccl3","Ccr1",0.17289560686263,0,"CCL3_CCR1","Ccl3  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060"
"Macrophages (C1q+Trem2+ TAM)","Macrophages (C1q+Trem2+ TAM)","Ccl9","Ccr1",0.00220199115621079,0,"CCL9_CCR1","Ccl9  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060"
"Monocytes","Macrophages (C1q+Trem2+ TAM)","Ccl9","Ccr1",0.00233712602725838,0,"CCL9_CCR1","Ccl9  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060"
"Macrophages (C1q+Trem2+ TAM)","Neutrophils (Ccl3+)","Ccl9","Ccr1",0.0120428063102478,0,"CCL9_CCR1","Ccl9  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060"
"Monocytes","Neutrophils (Ccl3+)","Ccl9","Ccr1",0.0127741344375395,0,"CCL9_CCR1","Ccl9  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060"
"Macrophages (C1q+Trem2+ TAM)","Neutrophils (immature)","Ccl9","Ccr1",0.0278332526125172,0,"CCL9_CCR1","Ccl9  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060"
"Monocytes","Neutrophils (immature)","Ccl9","Ccr1",0.029494865487513,0,"CCL9_CCR1","Ccl9  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060"
"Macrophages (C1q+Trem2+ TAM)","Neutrophils (mature)","Ccl9","Ccr1",0.0300505311082392,0,"CCL9_CCR1","Ccl9  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060"
"Monocytes","Neutrophils (mature)","Ccl9","Ccr1",0.0318401776189076,0,"CCL9_CCR1","Ccl9  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060"
"Macrophages (C1q+Trem2+ TAM)","Neutrophils (Siglecf+ TAN)","Ccl9","Ccr1",0.027948376477436,0,"CCL9_CCR1","Ccl9  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060"
"Monocytes","Neutrophils (Siglecf+ TAN)","Ccl9","Ccr1",0.0296166527377551,0,"CCL9_CCR1","Ccl9  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060"
"Alveolar macrophages","Macrophages (C1q+Trem2+ TAM)","Ccl6","Ccr1",0.0143365523815104,0,"CCL6_CCR1","Ccl6  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060"
"Macrophages (C1q+Trem2+ TAM)","Macrophages (C1q+Trem2+ TAM)","Ccl6","Ccr1",0.00792226537410162,0.04,"CCL6_CCR1","Ccl6  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060"
"Neutrophils (immature)","Macrophages (C1q+Trem2+ TAM)","Ccl6","Ccr1",0.0168017288939944,0,"CCL6_CCR1","Ccl6  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060"
"Neutrophils (mature)","Macrophages (C1q+Trem2+ TAM)","Ccl6","Ccr1",0.0136022080765518,0,"CCL6_CCR1","Ccl6  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060"
"Alveolar macrophages","Neutrophils (Ccl3+)","Ccl6","Ccr1",0.074365617512833,0,"CCL6_CCR1","Ccl6  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060"
"Macrophages (C1q+Trem2+ TAM)","Neutrophils (Ccl3+)","Ccl6","Ccr1",0.0422449471600805,0,"CCL6_CCR1","Ccl6  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060"
"Monocytes","Neutrophils (Ccl3+)","Ccl6","Ccr1",0.0404216435673526,0,"CCL6_CCR1","Ccl6  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060"
"Neutrophils (Ccl3+)","Neutrophils (Ccl3+)","Ccl6","Ccr1",0.0159567747454793,0,"CCL6_CCR1","Ccl6  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060"
"Neutrophils (immature)","Neutrophils (Ccl3+)","Ccl6","Ccr1",0.0862495987768553,0,"CCL6_CCR1","Ccl6  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060"
"Neutrophils (mature)","Neutrophils (Ccl3+)","Ccl6","Ccr1",0.0707772664204218,0,"CCL6_CCR1","Ccl6  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060"
"Neutrophils (Siglecf+ TAN)","Neutrophils (Ccl3+)","Ccl6","Ccr1",0.00786573632680496,0,"CCL6_CCR1","Ccl6  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060"
"Alveolar macrophages","Neutrophils (immature)","Ccl6","Ccr1",0.158743136365001,0,"CCL6_CCR1","Ccl6  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060"
"Macrophages (C1q+Trem2+ TAM)","Neutrophils (immature)","Ccl6","Ccr1",0.0938734541820698,0,"CCL6_CCR1","Ccl6  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060"
"Monocytes","Neutrophils (immature)","Ccl6","Ccr1",0.0900313156650595,0,"CCL6_CCR1","Ccl6  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060"
"Neutrophils (Ccl3+)","Neutrophils (immature)","Ccl6","Ccr1",0.0366886101007731,0,"CCL6_CCR1","Ccl6  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060"
"Neutrophils (immature)","Neutrophils (immature)","Ccl6","Ccr1",0.181467568396417,0,"CCL6_CCR1","Ccl6  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060"
"Neutrophils (mature)","Neutrophils (immature)","Ccl6","Ccr1",0.151750815950587,0,"CCL6_CCR1","Ccl6  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060"
"Neutrophils (Siglecf+ TAN)","Neutrophils (immature)","Ccl6","Ccr1",0.0182805788635838,0,"CCL6_CCR1","Ccl6  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060"
"Alveolar macrophages","Neutrophils (mature)","Ccl6","Ccr1",0.169570061375347,0,"CCL6_CCR1","Ccl6  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060"
"Macrophages (C1q+Trem2+ TAM)","Neutrophils (mature)","Ccl6","Ccr1",0.100806168301152,0,"CCL6_CCR1","Ccl6  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060"
"Monocytes","Neutrophils (mature)","Ccl6","Ccr1",0.0967105656979945,0,"CCL6_CCR1","Ccl6  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060"
"Neutrophils (Ccl3+)","Neutrophils (mature)","Ccl6","Ccr1",0.0395826095816907,0,"CCL6_CCR1","Ccl6  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060"
"Neutrophils (immature)","Neutrophils (mature)","Ccl6","Ccr1",0.193487917258384,0,"CCL6_CCR1","Ccl6  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060"
"Neutrophils (mature)","Neutrophils (mature)","Ccl6","Ccr1",0.162192782710603,0,"CCL6_CCR1","Ccl6  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060"
"Neutrophils (Siglecf+ TAN)","Neutrophils (mature)","Ccl6","Ccr1",0.0197523251166249,0,"CCL6_CCR1","Ccl6  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060"
"Alveolar macrophages","Neutrophils (Siglecf+ TAN)","Ccl6","Ccr1",0.15931099782239,0,"CCL6_CCR1","Ccl6  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060"
"Macrophages (C1q+Trem2+ TAM)","Neutrophils (Siglecf+ TAN)","Ccl6","Ccr1",0.0942352556136347,0,"CCL6_CCR1","Ccl6  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060"
"Monocytes","Neutrophils (Siglecf+ TAN)","Ccl6","Ccr1",0.090379785965375,0,"CCL6_CCR1","Ccl6  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060"
"Neutrophils (Ccl3+)","Neutrophils (Siglecf+ TAN)","Ccl6","Ccr1",0.0368389735329546,0,"CCL6_CCR1","Ccl6  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060"
"Neutrophils (immature)","Neutrophils (Siglecf+ TAN)","Ccl6","Ccr1",0.182099124247589,0,"CCL6_CCR1","Ccl6  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060"
